# HQ prefill database for 2026 IARU HF Championship
# Data collected and maintained by Joe OZ0J and Bob N6TV
# Last updated 2026-07-11 14:32 UTC
3D2HQ,FARA
3V8HQ,ARAT
3V8LL,ARAT
3V8SS,ARAT
4A0HQ,FMRE
4K7Z,FRS
4L0HQ,NARG
4O1HQ,MARP
4V0HQ,RCH
4X4ARC,IARC
5C8A,ARRAM
5Z4RS,ARSK
7A1HQ,ORARI
7X2HQ,ARA
8N2HQ,JARL
8N3HQ,JARL
8N8HQ,JARL
9A0HQ,HRS
9H1MRL,MARL
9K9HQ,KARS
9M2A,MARTS
9M2IR,R3
9V9HQ,SARTS
9Y4HQ,TTARS
9Y4T,R2
A25HQ,BARS
A47RS,ROARS
A60HQ,EARS
A71HQ,QARS
AT1HQ,ARSI
B8HQ,CRAC
B9HQ,CRAC
BV0HQ,CTARL
C37HQ,URA
C4HQ,CARS
C91HQ,LREM
CE3AA,RCCH
CS5HQ,REP
CX1AA,RCU
DA0HQ,DARC
DJ3HW,R1
DX0HQ,PARA
E2HQ,RAST
E7HQ,ARABH
ED0HQ,URE
EI0HQ,IRTS
EK0HQ,FRRA
EL2BEN,LRAA
EM5HQ,UARL
ER7HQ,ARM
ES9A,ERAU
ET3AA,EARS
EW5HQ,BFRR
EX9HQ,ARUKR
F4GKR,R1
GR2HQ,RSGB
HB0HQ,AFVL
HB9HQ,USKA
HB9JOE,R1
HC2GRC,GRC
HG0HQ,MRASZ
HI0RCD,RCD
HK3LR,LCRA
HL0HQ,KARL
HL1IWD,R3
HP0HQ,LPRA
HQ2W,RCH
HS1FVL,R3
HU0YS,CRAS
HZ0HQ,SARS
II1HQ,ARI
IV3KKW,R1
J73Z,DARCI
J87HQ,SVGRS
JA1BJI,R3
JA1CJP,R3
JU1HQ,MRSF
LA2RR,AC
LN2HQ,NRRL
LT4RCA,RCA
LU1BCE,R2
LX8HQ,RL
LY0HQ,LRMD
LZ0HQ,BFRA
NU1AW/0,IARU
OA4O,RCP
OE0HQ,OV
OH2HQ,SRAL
OM3HQ,SARA
OP0HQ,UBA
OY1CT,FRA
OZ1HQ,EDR
P40HQ,AARC
PA6HQ,VERON
PB2T,R1
PB6HQ,VERON
PC6HQ,VERON
PE6HQ,VERON
PF6HQ,VERON
PG6HQ,VERON
PH6HQ,VERON
PJ2HQ,VRONA
PT2ADM,R2
PX2HQ,LABRE
R1HQ,SRR
R2HQ,SRR
R3HQ,SRR
R4HQ,SRR
R5HQ,SRR
R6HQ,SRR
S50HQ,ZRS
S77SARA,SARA
SK9HQ,SSA
SM6EAN,AC
SN0HQ,PZK
ST0HQ,SARU
SU1SK,ERASD
SX0HQ,RAAG
T40HQ,FRC
T70HQ,ARRSM
TC3HQ,TRAC
TF3HQ,IRA
TG0AA,CRAG
TI0HQ,RCCR
TM0HQ,REF
TU2CI,ARAI
UN1HQ,KFRR
V31HQ,BARC
V55HQ,NARL
V84SB,BDARA
VA3RAC,RAC
VE6SH,AC
VJ3O,R3
VK3WIA,WIA
VP2M,MARS
VP2V,BVIRL
VP9HQ,RSB
VR2HK,HARTS
VR2XMC,R3
W1AW,ARRL
W5ZN,AC
W6ROD,R2
XE1KK,R2
XR3HQ,RCCH
XV4Y,VARC
XX9A,ARM
YB0AZ,R3
YL4HQ,LRAL
YR0HQ,FRR
YS0YS,CRAS
YS1MS,R2
YT0HQ,SRS
YV5AJ,RCV
Z30HQ,RSM
Z32TO,R1
Z60HQ,SHRAK
ZA1A,AARA
ZF1A,CARS
ZL6HQ,NZART
ZP5AA,RCP
ZS9HQ,SARL
