#Call,MCnumber
DJ6SI,MC1
DL1PM,MC2
PA0DIN,MC3
I2DMK,MC4
IT9XNM,MC5
I2MQP,MC6
DJ2HN,MC7
ON4CW,MC8
DL6MK,MC9
ON5ME,MC10
G3HDB,MC11
I2BVS,MC12
I1QOD,MC13
I1HLI,MC14
I1ZB,MC15
I1ZRV,MC16
I1YXN,MC17
I1WNB,MC18
I1XKN,MC19
I2VXJ,MC20
IK1IEX,MC21
I1TJL,MC22
IK1AOI,MC23
I1ONZ,MC24
IK1JGS,MC25
IK1JXX,MC26
IK1JXW,MC27
IK1JNG,MC28
IZ1AZS,MC29
I2NYN,MC30
I1BWI,MC31
IK1AET,MC32
IK1HLG,MC33
I1HJK,MC34
I1GJC,MC35
ON4RU,MC36
VE3CRG,MC37
LZ2RS,MC38
IK2GSO,MC39
DL3RK,MC40
IK1ATK,MC41
I1XA,MC42
DL8KAZ,MC43
I1JQJ,MC44
DJ5QK,MC45
DL2FAK,MC46
G3LIK,MC47
PA3DKZ,MC48
IK1CCS,MC49
I1YRL,MC50
DK5PZ,MC51
IK3JBQ,MC52
PA3BJD,MC53
I0VPK,MC54
I2RLX,MC55
I1OOK,MC56
IS0JMA,MC57
I2MOV,MC58
I7ALE,MC59
G3ASM,MC60
ON7GO,MC61
F6IIE,MC62
PA3CVU,MC63
HA1XJ,MC64
IK4DCT,MC65
DK4LX,MC66
DL1ZQ,MC67
PA3DNH,MC68
I5FYI,MC69
I2ZGA,MC70
VE3FXR,MC71
VE2GOO,MC72
IK7IDL,MC73
IN3NJB,MC74
I3JEX,MC75
EA3DOS,MC76
I8WY,MC77
KA4IFF,MC78
IK6ARS,MC79
IS0NNO,MC80
IK1HDB,MC81
I4AND,MC82
I5KVT,MC83
DL1SN,MC84
IK4HLO,MC85
I1XHV,MC86
IK8FIQ,MC87
I2IEY,MC88
IK2EUY,MC89
IK1CSB,MC90
IK2ECC,MC91
I7LMR,MC92
I5NQK,MC93
DL1MAY,MC94
IK0AAE,MC95
DF1FW,MC96
DL1LAE,MC97
I8QOO,MC98
DF4VS,MC99
IY1EY,MC100
IT9JDB,MC101
I1IKT,MC102
HB9DAX,MC103
DL1FU,MC104
DL8HAO,MC105
DL8DAS,MC106
HB9CSA,MC107
I4ALU,MC108
DL4NAV,MC109
DK6TM,MC110
ON5GK,MC111
DL6XW,MC112
I2QIL,MC113
DK9EA,MC114
UA3EAC,MC115
DL4NBE,MC116
DF2PS,MC117
I8ACB,MC118
I8FXT,MC119
DK3LB,MC120
DL1BHI,MC121
F2CW,MC122
HB9BHY,MC123
DL6ZBX,MC124
I7OEB,MC125
DL1GQE,MC126
I6AFM,MC127
DK4ZZ,MC128
UB5FDG,MC129
DL9MBZ,MC130
I6AEN,MC131
DK9ZN,MC132
